source_row,date,time,x,y,z,energy_j,local_x,local_y
200,43952.0,0.41533564814814816,384242.0,4352923.0,686.0,1.7566096186219187,5242.0,7223.0
201,43952.0,0.575474537037037,384181.0,4352959.0,685.0,1.0855924721816868,5181.0,7259.0
202,43952.0,0.6248032407407408,384146.0,4352900.0,689.0,1.5780387755040948,5146.0,7200.0
203,43952.0,0.7225578703703703,384153.0,4352942.0,682.0,1.6688682135740098,5153.0,7242.0
204,43952.0,0.7228240740740741,384182.0,4352934.0,681.0,3.517558806241895,5182.0,7234.0
205,43952.0,0.8006018518518518,384208.0,4352958.0,686.0,4.418425956193729,5208.0,7258.0
206,43952.0,0.9015740740740741,384161.0,4352900.0,688.0,2.131612803134571,5161.0,7200.0
207,43952.0,0.9024305555555555,384128.0,4352935.0,683.0,1.5387203773179727,5128.0,7235.0
208,43952.0,0.9025810185185185,384164.0,4352935.0,689.0,2.5783963558146166,5164.0,7235.0
209,43953.0,0.0516087962962963,384157.0,4352947.0,665.0,0.8498244361881061,5157.0,7247.0
210,43953.0,0.06024305555555556,383941.0,4352949.0,685.0,8.646553333487676,4941.0,7249.0
211,43953.0,0.06351851851851852,384210.0,4352837.0,691.0,1.618044577258435,5210.0,7137.0
212,43953.0,0.1932523148148148,384148.0,4352946.0,679.0,4.365388222703386,5148.0,7246.0
213,43953.0,0.45738425925925924,383987.0,4353013.0,688.0,290.9732676981785,4987.0,7313.0
214,43953.0,0.5094675925925926,384209.0,4352891.0,696.0,2.3207738725587443,5209.0,7191.0
215,43953.0,0.5400925925925926,384170.0,4352851.0,687.0,2.9518087383135097,5170.0,7151.0
216,43953.0,0.9052893518518519,384219.0,4352934.0,686.0,3.297756262489757,5219.0,7234.0
217,43953.0,0.988287037037037,383698.0,4353229.0,687.0,31.40825233656929,4698.0,7529.0
218,43953.0,0.9956597222222222,384123.0,4352894.0,686.0,2.0440988151238906,5123.0,7194.0
219,43954.0,0.08030092592592593,384032.0,4353125.0,682.0,44.441823955565596,5032.0,7425.0
220,43954.0,0.2310648148148148,384370.0,4352950.0,455.0,650.0943054291757,5370.0,7250.0
221,43954.0,0.0356712962962963,384097.0,4353114.0,682.0,39.942052273889246,5097.0,7414.0
222,43954.0,0.3630555555555556,384113.0,4352943.0,683.0,7.559717402540855,5113.0,7243.0
223,43954.0,0.3858101851851852,384121.0,4352861.0,685.0,1.8082024089373636,5121.0,7161.0
224,43954.0,0.4143981481481481,384149.0,4352863.0,695.0,2.3455020208964155,5149.0,7163.0
225,43954.0,0.45667824074074076,384164.0,4352883.0,689.0,1.7544789815184265,5164.0,7183.0
226,43954.0,0.4601851851851852,384151.0,4352888.0,689.0,4.117489558943314,5151.0,7188.0
227,43954.0,0.4672337962962963,384210.0,4352932.0,682.0,2.684093051525285,5210.0,7232.0
228,43954.0,0.47043981481481484,384124.0,4352935.0,686.0,3.104009995433009,5124.0,7235.0
229,43954.0,0.5051736111111111,384185.0,4352979.0,683.0,3.5509058860154106,5185.0,7279.0
230,43954.0,0.5599421296296296,384210.0,4352890.0,689.0,2.7758545123663723,5210.0,7190.0
231,43954.0,0.5740856481481481,384154.0,4352847.0,685.0,1.2829193625464068,5154.0,7147.0
232,43954.0,0.6154861111111111,384210.0,4352969.0,685.0,4.582360068306869,5210.0,7269.0
233,43954.0,0.8606481481481482,384165.0,4352837.0,695.0,38.81150723005839,5165.0,7137.0
234,43954.0,0.8676041666666666,384146.0,4352843.0,691.0,1.4155140961361548,5146.0,7143.0
235,43954.0,0.9011226851851852,384236.0,4352927.0,687.0,3.726753040009717,5236.0,7227.0
236,43955.0,0.0051736111111111115,384131.0,4352784.0,690.0,121.26928143246224,5131.0,7084.0
